[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | INFO: Tag[ route_check ] --START--
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | INFO: Run CheckRoute Behavior [ RunTime:0.000756s ]
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.000853s ]
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | INFO: Tag[ app_begin ] --START--
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000630s ]
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000704s ]
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | SQL: SHOW COLUMNS FROM `ningbo_admin` [ RunTime:0.001013s ]
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | SQL: SELECT * FROM `ningbo_admin`  [ RunTime:0.000737s ]
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | INFO: Tag[ view_template ] --START--
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | INFO: Run LocationTemplate Behavior [ RunTime:0.001843s ]
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.001930s ]
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | INFO: Tag[ view_parse ] --START--
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-20T19:24:44+08:00 ] /admin.php/User/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
