[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | INFO: Tag[ route_check ] --START--
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | INFO: Run CheckRoute Behavior [ RunTime:0.000831s ]
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000925s ]
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | INFO: Tag[ app_begin ] --START--
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000664s ]
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000765s ]
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | SQL: SHOW COLUMNS FROM `ningbo_weibo` [ RunTime:0.000969s ]
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | SQL: SELECT COUNT(*) AS tp_count FROM `ningbo_weibo` WHERE ( `isturn` = 0 ) LIMIT 1   [ RunTime:0.000568s ]
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | SQL: SHOW COLUMNS FROM `ningbo_picture` [ RunTime:0.001338s ]
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | SQL: SHOW COLUMNS FROM `ningbo_userinfo` [ RunTime:0.001305s ]
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,picture.max AS picture,userinfo.username AS username FROM ningbo_weibo weibo LEFT JOIN ningbo_picture picture ON weibo.id = picture.weibo_id LEFT JOIN ningbo_userinfo userinfo ON weibo.user_id = userinfo.user_id WHERE ( weibo.isturn = 0 ) ORDER BY weibo.time DESC LIMIT 0,10   [ RunTime:0.001324s ]
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | INFO: Tag[ view_template ] --START--
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001294s ]
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001370s ]
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | INFO: Tag[ view_parse ] --START--
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T13:00:27+08:00 ] /admin.php/Weibo/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
