[ 2018-02-21T15:38:49+08:00 ] /admin.php/Weibo/searchComment | ERR: (ThinkException) 非法操作searchComment
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | INFO: Tag[ route_check ] --START--
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | INFO: Run CheckRoute Behavior [ RunTime:0.001139s ]
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | INFO: Tag[ route_check ] --END-- [ RunTime:0.001222s ]
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | INFO: Tag[ app_begin ] --START--
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000804s ]
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000869s ]
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | INFO: Tag[ view_template ] --START--
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | INFO: Run LocationTemplate Behavior [ RunTime:0.001436s ]
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | INFO: Tag[ view_template ] --END-- [ RunTime:0.001515s ]
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | INFO: Tag[ view_parse ] --START--
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-21T15:38:52+08:00 ] /admin.php/Weibo/searchWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
