[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ route_check ] --START--
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Run CheckRoute Behavior [ RunTime:0.001164s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ route_check ] --END-- [ RunTime:0.001258s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ app_begin ] --START--
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000936s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001005s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | SQL: SHOW COLUMNS FROM `ningbo_comment` [ RunTime:0.001110s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | SQL: SELECT COUNT(*) AS tp_count FROM `ningbo_comment` LIMIT 1   [ RunTime:0.000275s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | SQL: SHOW COLUMNS FROM `ningbo_userinfo` [ RunTime:0.001041s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | SQL: SELECT comment.id AS id,comment.content AS content,comment.time AS time,comment.weibo_id AS weibo_id,userinfo.username AS username FROM ningbo_comment comment LEFT JOIN ningbo_userinfo userinfo ON comment.user_id = userinfo.user_id ORDER BY comment.time DESC LIMIT 0,10   [ RunTime:0.000920s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ view_template ] --START--
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Run LocationTemplate Behavior [ RunTime:0.001534s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ view_template ] --END-- [ RunTime:0.001607s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ view_parse ] --START--
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
