[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | INFO: Tag[ route_check ] --START--
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | INFO: Run CheckRoute Behavior [ RunTime:0.000835s ]
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000920s ]
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | INFO: Tag[ app_begin ] --START--
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000900s ]
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000966s ]
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | SQL: SHOW COLUMNS FROM `ningbo_comment` [ RunTime:0.000666s ]
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | SQL: SHOW COLUMNS FROM `ningbo_userinfo` [ RunTime:0.000866s ]
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | SQL: SELECT comment.id AS id,comment.content AS content,comment.time AS time,comment.weibo_id AS weibo_id,userinfo.username AS username FROM ningbo_comment comment LEFT JOIN ningbo_userinfo userinfo ON comment.user_id = userinfo.user_id WHERE ( comment.content LIKE '%呵呵%' ) ORDER BY comment.time DESC  [ RunTime:0.000475s ]
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | INFO: Tag[ view_template ] --START--
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | INFO: Run LocationTemplate Behavior [ RunTime:0.001197s ]
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001269s ]
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | INFO: Tag[ view_parse ] --START--
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:49:57+08:00 ] /admin.php/Weibo/searchComment?search=%E5%91%B5%E5%91%B5&__hash__=46ae467bb3360ea8cf65c97713628c24_87d6f45a79a8a53226fd7aaf0cee9472 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
