[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001092s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001183s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000683s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000750s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001770s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001864s ]
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-18T11:29:45+08:00 ] /admin.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
