[ 2018-02-18T00:10:09+08:00 ] /Public/Theme/style2/images/bottom_logo.gif | ERR: (ThinkException) 无法加载模块Public
[ 2018-02-18T00:10:09+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --START--
[ 2018-02-18T00:10:09+08:00 ] /index.php/Common/pushMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001861s ]
[ 2018-02-18T00:10:09+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.002011s ]
[ 2018-02-18T00:10:09+08:00 ] /index.php/Common/pushMsg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-18T00:10:09+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --START--
[ 2018-02-18T00:10:09+08:00 ] /index.php/Common/pushMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001281s ]
[ 2018-02-18T00:10:09+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001423s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | INFO: Tag[ route_check ] --START--
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | INFO: Run CheckRoute Behavior [ RunTime:0.000868s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | INFO: Tag[ route_check ] --END-- [ RunTime:0.000954s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | INFO: Tag[ app_begin ] --START--
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000714s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000781s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | SQL: SHOW COLUMNS FROM `ningbo_atme` [ RunTime:0.001633s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | SQL: SELECT `weibo_id` FROM `ningbo_atme` WHERE ( `user_id` = '2' )  [ RunTime:0.002053s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | SQL: SHOW COLUMNS FROM `ningbo_weibo` [ RunTime:0.001613s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | SQL: SHOW COLUMNS FROM `ningbo_userinfo` [ RunTime:0.001861s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | SQL: SHOW COLUMNS FROM `ningbo_picture` [ RunTime:0.001782s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.user_id AS user_id,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM ningbo_weibo weibo LEFT JOIN ningbo_userinfo userinfo ON weibo.user_id = userinfo.user_id LEFT JOIN ningbo_picture picture ON weibo.id = picture.weibo_id WHERE ( weibo.id IN ('66','68','69','70','72','73','78','79','80','81') ) ORDER BY weibo.time DESC LIMIT 010   [ RunTime:0.003649s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | INFO: Tag[ view_template ] --START--
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | INFO: Run LocationTemplate Behavior [ RunTime:0.002540s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | INFO: Tag[ view_template ] --END-- [ RunTime:0.002619s ]
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | INFO: Tag[ view_parse ] --START--
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-18T00:10:14+08:00 ] /index.php/User/atme | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
