[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002109s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002374s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000679s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001192s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001154s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001226s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
