[ 2018-07-04T21:17:10+08:00 ] /weibo/Public/Theme/default/images/bottom_logo.gif | ERR: (ThinkException) 无法加载模块Public
[ 2018-07-04T21:17:10+08:00 ] /weibo/index.php/Common/pushMsg | ERR: (ThinkException) 系统不支持:memcache
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | INFO: Tag[ app_begin ] --START--
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000489s ]
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000609s ]
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `ningbo_follow_fans` [ RunTime:0.001350s ]
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | SQL: SELECT `follow` FROM `ningbo_follow_fans` WHERE ( `fans` = '1' )  [ RunTime:0.000346s ]
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `ningbo_weibo` [ RunTime:0.000844s ]
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `ningbo_userinfo` [ RunTime:0.000788s ]
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `ningbo_picture` [ RunTime:0.000715s ]
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | SQL: SELECT COUNT(*) AS tp_count FROM ningbo_weibo weibo LEFT JOIN ningbo_userinfo userinfo ON weibo.user_id = userinfo.user_id LEFT JOIN ningbo_picture picture ON weibo.id = picture.weibo_id WHERE ( weibo.user_id IN ('1') ) LIMIT 1   [ RunTime:0.000408s ]
[ 2018-07-04T21:17:11+08:00 ] /weibo/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
